,EAD_SUB_IDX,Unnamed: 0,DEAL_REF,BS_TYPE,EAD_PRE_CCF,EAD,CCY_1,APPROACH_NEW,K_MATURITY,RESIDUAL_MATURITY,PD_ORIGINAL,PD_NEW,LGD,RWA,RW_NEW,K_FUNCTION_SET_USED,TOTAL_ANNUAL_SALES,ASSET_CLASS_NEW,HE,REMARGIN_FREQ,DEAL_REF_NEW,EAD_POST_HE,ORIG_EAD,RISK_WEIGHT,EAD_SPLIT
0,FAC_CBIO_110_470480688_0,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
1,FAC_CBIO_110_470480688_1,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
2,FAC_CBIO_110_470480688_2,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
3,FAC_CBIO_110_470480688_3,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
4,FAC_CBIO_110_470480688_4,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
5,FAC_CBIO_110_470480688_5,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
6,FAC_CBIO_110_470480688_6,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
7,FAC_CBIO_110_470480688_7,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
8,FAC_CBIO_110_470480688_8,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
9,FAC_CBIO_110_470480688_9,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
10,FAC_CBIO_110_470480688_10,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
11,FAC_CBIO_110_470480688_11,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
12,FAC_CBIO_110_470480688_12,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
13,FAC_CBIO_110_470480688_13,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
14,FAC_CBIO_110_470480688_14,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
15,FAC_CBIO_110_470480688_15,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
16,FAC_CBIO_110_470480688_16,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
17,FAC_CBIO_110_470480688_17,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
18,FAC_CBIO_110_470480688_18,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
19,FAC_CBIO_110_470480688_19,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
20,FAC_CBIO_110_470480688_20,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
21,FAC_CBIO_110_470480688_21,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
22,FAC_CBIO_110_470480688_22,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
23,FAC_CBIO_110_470480688_23,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
24,FAC_CBIO_110_470480688_24,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
25,FAC_CBIO_110_470480688_25,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
26,FAC_CBIO_110_470480688_26,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
27,FAC_CBIO_110_470480688_27,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
28,FAC_CBIO_110_470480688_28,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
29,FAC_CBIO_110_470480688_29,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
30,FAC_CBIO_110_470480688_30,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
31,FAC_CBIO_110_470480688_31,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
32,FAC_CBIO_110_470480688_32,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
33,FAC_CBIO_110_470480688_33,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
34,FAC_CBIO_110_470480688_34,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
35,FAC_CBIO_110_470480688_35,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
36,FAC_CBIO_110_470480688_36,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
37,FAC_CBIO_110_470480688_37,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
38,FAC_CBIO_110_470480688_38,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
39,FAC_CBIO_110_470480688_39,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
40,FAC_CBIO_110_470480688_40,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
41,FAC_CBIO_110_470480688_41,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
42,FAC_CBIO_110_470480688_42,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
43,FAC_CBIO_110_470480688_43,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
44,FAC_CBIO_110_470480688_44,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
45,FAC_CBIO_110_470480688_45,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
46,FAC_CBIO_110_470480688_46,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
47,FAC_CBIO_110_470480688_47,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
48,FAC_CBIO_110_470480688_48,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
49,FAC_CBIO_110_470480688_49,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
50,FAC_CBIO_110_470480688_50,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
51,FAC_CBIO_110_470480688_51,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
52,FAC_CBIO_110_470480688_52,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
53,FAC_CBIO_110_470480688_53,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
54,FAC_CBIO_110_470480688_54,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
55,FAC_CBIO_110_470480688_55,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
56,FAC_CBIO_110_470480688_56,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
57,FAC_CBIO_110_470480688_57,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
58,FAC_CBIO_110_470480688_58,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
59,FAC_CBIO_110_470480688_59,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
60,FAC_CBIO_110_470480688_60,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
61,FAC_CBIO_110_470480688_61,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
62,FAC_CBIO_110_470480688_62,35737,CBIO_110_470480688,ASS,5217388.13,5217388.13,HKD,FOU,1.0,1.0,0.0834,0.0834,0.45,9005420.206,1.62833955,ICCMCS_CORP_SOV_BANK,0,CLAIM_CORP,0,,CBIO_110_470480688,5217388.13,5217388.13,1.726039923,60000
